Immigration Court,Judge,Total Decisions,% Granted Asylum,% Granted Other Relief,% Denied
New York,"Pierro, Laura N.",136,39,0.7,60.3
New York,"Hom, Howard",589,41.8,1.5,56.7
New York,"Chugh, Amit",269,42,0.4,57.6
New York,"Conroy, Charles",420,42.9,0.2,56.9
New York,"Johnson-Papillo, Carrie C.",265,43,4.5,52.5
New York,"McCarthy, James M.",1287,43.6,1.5,54.9
New York,"Nelson, Barbara A.",988,46.2,0.9,52.9
New York,"Gundlach, Robert",593,47.4,0.7,51.9
New York,"Ling, Lisa W.",103,47.6,8.7,43.7
New York,"Chung, Jennifer",642,49.2,0,50.8
New York,"Dodd, Diane",185,49.7,1.1,49.2
New York,"Lloyd, Michael",328,50.9,0.3,48.8
New York,"Poczter, Aviva L.",1332,53.1,0.8,46.2
New York,"Bratton, Scott",139,54.7,2.2,43.2
New York,"Loprest, F. James, Jr.",829,55.9,2.2,42
New York,"Ehrens, Lisa",516,57.6,2.3,40.1
New York,"Ubarri, Maria",221,58.8,1.4,39.8
New York,"Factor, Sam",819,59.1,1.5,39.4
New York,"Pieters, Edwin",140,59.3,0,40.7
New York,"McFarland, Michael G.",877,60.7,1.4,38
New York,"Golovnin, Lena",889,60.7,1.3,37.9
New York,"Grogan, Edward",191,62.3,0.5,37.2
New York,"Campanella, Lorianne",369,62.6,1.4,36
New York,"Krasinski, Carolyn",236,63.1,0.8,36
New York,"Laforest, Brigitte",1474,63.2,1.1,35.8
New York,"Gordon, Cynthia",1008,64.2,0.4,35.4
New York,"Harbeck, Dorothy A.",554,65.3,1.3,33.4
New York,"Moore, Carol",137,65.7,0,34.3
New York,"Wright, Virna A.",1085,67,1.5,31.5
New York,"Kolbe, Margaret",404,69.8,3.7,26.5
New York,"Lebreton, Tanawa",266,69.9,2.3,27.8
New York,"Calvelli, Andrew",419,71.1,0.2,28.6
New York,"Sponzo, Jem C.",1128,71.5,1.3,27.2
New York,"Farber, Lauren T.",401,72.8,0.5,26.7
New York,"Dandelet, Kyle",340,73.2,0.3,26.5
New York,"Douchy, Evalyn P.",1254,74.3,3,22.7
New York,"Schoppert, Douglas B.",1120,74.6,6,19.5
New York,"Thomsen, Scott",458,76,0.7,23.4
New York,"Thompson, Donald W., Jr.",1480,76.3,0.9,22.8
New York,"Donnolo, Paula",348,76.4,0.9,22.7
New York,"Segal, Alice",1104,76.5,1.5,21.9
New York,"Tsankov, Mimi",480,77.3,0.4,22.3
New York,"Reingold, Jonathan",120,77.5,1.7,20.8
New York,"McDermott, William",539,77.7,0.4,21.9
New York,"Navarro, Maria E.",1141,78,1.6,20.4
New York,"Nassar, Dania",138,78.3,1.4,20.3
New York,"Bartleson, Thomas",290,79,1,20
New York,"Zagzoug, Randa",1171,79.3,2.6,18
New York,"Lurye, Maria",1103,80,0.5,19.6
New York,"Sagesse, Cathy",537,80.1,0.4,19.6
New York,"Cohen, Raisa",950,81.3,1.1,17.7
New York,"Cassin, Olivia L.",966,83.3,4.2,12.4
New York,"Kouris, Theodora N.",498,84.3,1.2,14.5
New York,"Sichel, Helen J.",595,84.5,1.3,14.1
New York,"Brennan, Noel A.",1038,84.6,1.2,14.3
New York,"Klahr, Deborah E.",505,85,1,14.1
New York,"Leeds, Frederic G.",844,85.2,0.5,14.3
New York,"Gordon-Uruakpa, Vivienne E.",943,86,2.9,11.1
New York,"Crawford, Carol A.",223,87.4,2.2,10.3
New York,"Bain, Terry A.",594,87.9,0.5,11.6
New York,"Khan, Amiena",694,88.6,1.4,9.9
New York,"Adams, Lori",296,89.2,0.3,10.5
New York,"Little, Anna C.",230,91.3,1.3,7.4
New York,"Koppenhofer, Andrea",169,94.1,0,5.9
New York,"Kim, David",154,96.1,0.6,3.2
New York - DET,"Reid, Dara",1194,17,0,83
New York - DET,"Tsankov, Mimi",115,17.4,7,75.7
New York - DET,"Conroy, Charles",478,18.4,1.3,80.3
New York - DET,"Decure, John",435,18.9,0.5,80.7
New York - DET,"London, Charlesa E.",166,19.9,0,80.1
New York - DET,"Farber, Lauren T.",115,20.9,3.5,75.7
New York - DET,"Ouslander, Charles",175,29.1,0.6,70.3
New York - DET,"Cortes, John W.",430,31.9,0.7,67.4
New York - DET,"Auh, Kyung S.",139,32.4,0,67.6
New York - DET,"Drucker, Richard",1345,34.9,0.7,64.4
New York - DET,"Prieto, Francisco R.",373,34.9,5.1,60.1
New York - DET,"Kolbe, Margaret",252,43.3,1.6,55.2
New York - DET,"Ling, Lisa W.",1552,43.4,1.2,55.3
New York - DET,"Mungoven, Thomas",406,46.1,0.2,53.7
New York - DET,"Horton, Monte J.",105,46.7,2.9,50.5
New York - DET,"Hoover, Forrest W., III",119,48.7,1.7,49.6
New York - DET,"Mulligan, Thomas J.",382,62,1.6,36.4
New York - DET,"Burnham, Shayne R.",707,62.5,0.8,36.6
New York - DET,"Norkin, David",271,84.1,0,15.9
Newark,"Mannion, Steve",435,6,0,94
Newark,"Chen, Shana W.",726,9.8,2.1,88.2
Newark,"Cheng, David",407,21.4,1.5,77.1
Newark,"Hinds Roach, Denise A.",200,21.5,0,78.5
Newark,"Bailey, Richard",547,23.6,0.9,75.5
Newark,"Shirole, Pallavi S.",490,24.1,0.8,75.1
Newark,"Manuel, Elise",102,28.4,0,71.6
Newark,"Wilson, Tamar H.",363,28.7,2.2,69.1
Newark,"Pierro, Laura N.",237,32.9,3.4,63.7
Newark,"Panopoulos, Adam",169,33.1,0,66.9
Newark,"McNeill Mullican, Leila",488,34.8,2.3,62.9
Newark,"Pope, Jason L.",451,35.5,2.2,62.3
Newark,"Lane, Nicole",107,36.4,0,63.6
Newark,"Ranasinghe, Arya S.",186,45.7,3.8,50.5
Newark,"Rastegar, Ramin",189,50.3,5.3,44.4
Newark,"Jeannopoulos, Amanda",347,52.4,3.5,44.1
Newark,"Rubin, Shifra",612,55.2,2.6,42.2
Newark,"Finston, Leo A.",307,59.6,3.6,36.8
Newark,"Little, Anna C.",141,60.3,0,39.7
Newark,"Riefkohl, Alberto J.",374,81.8,5.3,12.8
Oakdale,"Ashworth, Sherron",110,8.2,2.7,89.1
Oakdale,"Laragy, W. Scott",311,9.3,1.3,89.4
Oakdale,"Duck, John A., Jr.",368,14.9,0.8,84.2
Oakdale,"Schools, Shelly W.",174,21.3,0,78.7
Oakdale,"Martz, Nicholas A.",144,22.2,2.1,75.7
Oakdale,"Espinal, Pedro J.",170,53.5,0.6,45.9
Oakdale,"Taylor, Brock E.",186,53.8,0.5,45.7
Omaha,"Larsen, Alexandra R.",521,2.7,1.5,95.8
Omaha,"Meyer, Abby L.",871,4,3.6,92.4
Omaha,"Morrissey, Matthew E.",682,4.1,10.9,85
Omaha,"Anderson, Jack L.",201,12.4,3.5,84.1
Omaha,"Paul, Nancy J.",134,13.4,3,83.6
Orlando,"Lippman, Daniel",271,8.1,1.1,90.8
Orlando,"Chapman, Kevin J.",829,11.7,0.4,87.9
Orlando,"Alberdi, Yon K.",738,14.9,1.8,83.3
Orlando,"Karden, Stuart F.",515,15.1,1.7,83.1
Orlando,"Page-Lozano, Jennifer Leigh",519,17.9,1.9,80.2
Orlando,"Ghartey, Victoria L.",577,19.8,0.5,79.7
Orlando,"Grim, James",454,22,0.7,77.3
Orlando,"Harris, Monique",474,23.2,1.1,75.7
Orlando,"Lang, Elizabeth G.",157,51,1.9,47.1
Otay Mesa,"Simpson, Scott",127,17.3,1.6,81.1
Otay Mesa,"Attia, Olga E.",151,22.5,5.3,72.2
Otay Mesa,"Halliday-Roberts, Catherine",262,23.3,1.9,74.8
Otay Mesa,"DePaolo, Zsa Zsa",116,25.9,1.7,72.4
Otay Mesa,"Partida, Ana",193,36.8,2.1,61.1
Otay Mesa,"Burch, Valerie A.",185,41.1,4.9,54.1
Pearsall,"McKee, Robert R.",434,15.2,3,81.8
Pearsall,"Paulissen, Walter L.",290,17.6,9,73.4
Pearsall,"Tyrakoski, Meredith B.",143,20.3,0,79.7
Pearsall,"Alcorn, Stuart Douglas",493,20.9,8.3,70.8
Pearsall,"Martinez, Elizabeth",130,21.5,6.2,72.3
Philadelphia,"Golparvar, Kuyomars Q.",161,14.3,5,80.7
Philadelphia,"Hoover, Forrest W., III",124,33.1,0.8,66.1
Philadelphia,"Lee, Mary C.",881,36.4,1.2,62.3
Philadelphia,"Malloy, Rosalind K.",408,40.4,1,58.6
Philadelphia,"Carle, John B.",885,42.3,1.4,56.4
Philadelphia,"Scott, Joseph C.",391,44.2,2,53.7
Philadelphia,"Verma, Dinesh C.",184,47.3,1.1,51.6
Philadelphia,"Morley, Steven A.",612,48.7,4.1,47.2
Philadelphia,"Ehlers, Patrick J.",267,49.4,0,50.6
Philadelphia,"Honeyman, Charles M.",271,56.8,1.8,41.3
Philadelphia,"Kulick, Dawn",111,60.4,0,39.6
Philadelphia,"Garcy, Annie S.",360,62.5,0.6,36.9
Phoenix,"Spencer-Walters, Linda Inez",333,8.4,5.1,86.5
Phoenix,"Bartlemay, Robert C., Sr.",218,10.6,1.8,87.6
Phoenix,"Sharda, Munish",279,10.8,4.3,84.9
Phoenix,"Imburgia, Joseph S.",123,14.6,4.1,81.3
Phoenix,"Karlen, Melissa Beth",213,16.9,2.3,80.8
Phoenix,"Cottor, Elizabeth A",289,17.6,1.7,80.6
Phoenix,"Cortes, John W.",223,19.7,0.9,79.4
Phoenix,"Freerks, LaMonte S.",262,24.8,3.1,72.1
Phoenix,"Arellano, Silvia R.",148,26.4,1.4,72.3
Portland,"Truman, Phillip M.",213,7.5,0,92.5
Portland,"Greer, Christopher M.",229,10.5,2.6,86.9
Portland,"Hoeppner, Mindy E.",657,20.7,1.2,78.1
Portland,"Anderson, David C.",204,21.1,1,77.9
Portland,"Zanfardino, Richard",629,24,1.6,74.4
Portland,"Evans, David W.",136,31.6,0.7,67.6
Portland,"Lyons, Joren",510,39.6,0.8,59.6
Portland,"Lemke, Kathy J.",127,59.8,1.6,38.6
Sacramento,"Halperin, Ravit R.",112,10.7,0,89.3
Sacramento,"Roberts, Lindsy M.",102,23.5,2,74.5
Sacramento,"Hitesman, Jonathan W.",111,45.9,0,54.1
Sacramento,"Terrazas, Gilda M",100,46,0,54
Sacramento,"Geisse, Loreto S.",271,71.6,0.4,28
Sacramento,"Neumeister, David",345,71.9,5.5,22.6
Sacramento,"Phan, Susan",178,74.2,0,25.8
Sacramento,"Maggard, Robert P.",314,95.2,0.6,4.1
San Antonio,"Harlow, Craig A.",343,27.1,5.8,67.1
San Antonio,"Crossan, Thomas G., Jr.",205,29.8,11.2,59
San Antonio,"Martinez, Anibal D.",201,33.3,8,58.7
San Antonio,"Adams, Justin",190,33.7,4.2,62.1
San Antonio,"McCullough, Charles M.",516,35.9,9.1,55
San Antonio,"Newaz, Rifian S.",380,37.4,2.4,60.3
San Antonio,"Martin, Clay Nelson",123,37.4,3.3,59.3
San Antonio,"Tyrakoski, Meredith B.",193,40.4,6.7,52.8
San Antonio,"Gonzalez, Yvonne",411,44,5.4,50.6
San Antonio,"Tijerina, Eric J.",341,44.6,5.9,49.6
San Antonio,"Lafuente-Gaona, Cynthia",147,53.1,12.2,34.7
San Antonio,"Burkhart, Margaret D.",182,57.1,19.8,23.1
San Antonio,"Santander, Daniel J.",116,71.6,12.9,15.5
San Diego,"Bither, Christine A.",265,7.5,0.4,92.1
San Diego,"Renner, Renee L.",149,9.4,0.7,89.9
San Diego,"Clemente, Jesus",326,13.2,31,55.8
San Diego,"Romig, Jeffrey L.",483,13.9,6,80.1
San Diego,"Law, Philip S.",644,14,2.3,83.7
San Diego,"O'Connor, Lee A.",324,14.2,1.9,84
San Diego,"Ipema, Henry P., Jr.",211,19.4,0.5,80.1
San Diego,"DeVitto, James Alan",387,24.8,1,74.2
San Diego,"Grande, Guy G.",313,29.1,2.2,68.7
San Diego,"Bartolomei, Richard J., Jr",217,35,5.1,59.9
San Diego,"Simpson, Scott",140,38.6,2.9,58.6
San Diego,"Partida, Ana",142,47.9,0,52.1
San Francisco,"Aina, Nathan N.",238,4.6,3.8,91.6
San Francisco,"Halperin, Ravit R.",248,22.2,0,77.8
San Francisco,"Nelson, Julie L.",685,23.2,2,74.7
San Francisco,"Caborn, Andrew J.",665,31.9,1.1,67.1
San Francisco,"Simmons, Gregory L.",556,39.2,3.1,57.7
San Francisco,"Morwood, Dion A.",165,39.4,0,60.6
San Francisco,"Nava, Marlem",129,44.2,1.6,54.3
San Francisco,"Burch, Valerie A.",124,44.4,6.5,49.2
San Francisco,"Lake, Kelly B.",474,46.2,6.5,47.3
San Francisco,"Phan, Susan",1237,46.3,1.1,52.5
San Francisco,"Ford, Nicholas R",702,47.4,4.6,48
San Francisco,"Seminerio, Frank A.",855,49,0.1,50.9
San Francisco,"O'Brien, Patrick S.",860,49,0.5,50.6
San Francisco,"Park, Joseph Y.",661,50.7,2.1,47.2
San Francisco,"Picton, Cory M.",579,52,2.1,45.9
San Francisco,"Gambill, Scott D.",1176,54,0.5,45.5
San Francisco,"Pierce, Curtis F.",322,65.8,0.9,33.2
San Francisco,"Shugall, Ilyce",231,66.2,2.6,31.2
San Francisco,"Masterson, Jason R.",283,66.4,1.1,32.5
San Francisco,"Star, Shadee M.",857,68.3,2.9,28.8
San Francisco,"Jefferson-Webb, Lettricea L.",409,68.7,0,31.3
San Francisco,"Young, Elizabeth L.",531,69.5,3.4,27.1
San Francisco,"Paulino, Robin K.",687,69.9,2.2,27.9
San Francisco,"Kirchner, Steven M.",593,71,0.2,28.8
San Francisco,"McCleskey, Loi L.",358,71.2,1.4,27.4
San Francisco,"Geisse, Loreto S.",459,76.3,3.9,19.8
San Francisco,"Greene, Charles S., III.",1091,76.4,3.6,20.1
San Francisco,"Figueroa, Laura C.",729,76.8,2.3,20.9
San Francisco,"Jamil, Rebecca",180,77.2,0.6,22.2
San Francisco,"Slayton, Michelle A.",123,78,0,22
San Francisco,"Swink, Arwen A.",1090,78.8,1.7,19.4
San Francisco,"Butler, Jeremy J.",689,79.5,0.3,20.2
San Francisco,"Jackson, Jacqueline J.",465,80.9,2.4,16.8
San Francisco,"Ramirez, Laura L.",163,81,0.6,18.4
San Francisco,"Little, Anna C.",716,81.3,1.4,17.3
San Francisco,"Schulz, Karen W.",419,82.3,0.5,17.2
San Francisco,"Price, Justin M.",930,85.8,1.3,12.9
San Francisco,"Riedthaler-Williams, Jennifer M.",117,86.3,7.7,6
San Francisco,"Johnson, Jeremiah",1204,86.5,1,12.5
San Francisco,"Marks, Dana Leigh",494,88.7,1.4,9.9
San Francisco,"Deiss, Ila C.",1796,91.2,1.3,7.5
San Francisco,"Kim, Samuel Y.",184,92.4,4.9,2.7
San Francisco,"Savage, Patrick S.",1071,92.8,0.8,6.3
San Francisco,"George, Amber D",710,93.7,0.4,5.9
San Francisco,"Hayward, Miriam R.",183,95.1,0,4.9
San Francisco,"Gordon, Louis A.",545,96,0.2,3.9
San Francisco,"Davis, Howard R.",141,96.5,0,3.5
San Francisco,"Levine, Shira M.",674,97.5,0.3,2.2
San Francisco,"Chen, Shuting",309,97.7,0,2.3
San Francisco,"Dillon, Chloe S.",260,98.5,0.4,1.2
Santa Ana,"Ghasri, Iman",109,22.9,1.8,75.2
Santa Ana,"Lee, Wilbur",196,23,2.6,74.5
Santa Ana,"Brown, Charlotte D.",116,36.2,4.3,59.5
Santa Ana,"Winfield, Jennifer",107,37.4,1.9,60.7
Santa Ana,"Rothschild, Jerome M., Jr.",164,39,0.6,60.4
Santa Ana,"Brooks, Alicia",178,41,0.6,58.4
Santa Ana,"Francis, Leon J.",203,44.3,2.5,53.2
Santa Ana,"Huang, Jonathan",110,50.9,3.6,45.5
Santa Ana,"Chan, Matthew",120,66.7,1.7,31.7
Santa Ana,"Noche, Joyce",153,68,2,30.1
Santa Ana,"Mabry Iii, William",175,79.4,1.7,18.9
Santa Ana,"Fishkin, Andrew",180,81.7,3.3,15
Santa Ana,"Levin, Victoria",134,82.8,1.5,15.7
Seattle,"Sogabe, Kenneth",710,18.6,0.6,80.8
Seattle,"Evans, David W.",640,19.1,1.3,79.7
Seattle,"Johnson, Shane E.",780,20.9,1.8,77.3
Seattle,"Tisocco, Michael",223,22,0.4,77.6
Seattle,"McSeveney, Robert B.C.",1574,27.3,0.4,72.4
Seattle,"Windrow, Hayden E.",697,31,0.3,68.7
Seattle,"Parchert, Brett M.",1788,31.4,2.1,66.4
Seattle,"Defonzo, Paul A.",247,41.3,4.9,53.8
Seattle,"Walsh, John F.",143,44.1,2.1,53.8
Sterling,"Pope, Jason L.",161,37.9,0,62.1
Tacoma,"Odell, John C.",484,27.5,2.3,70.2
Tacoma,"Scala, Theresa M.",123,29.3,3.3,67.5
Tacoma,"Floyd, Charles Neil",311,36.3,3.5,60.1
Tacoma,"Fitting, Tammy L.",432,42.4,1.9,55.8
Tucson,"O'Leary, Thomas Michael",241,19.9,5.8,74.3
Tucson,"Davis, John W.",314,22.6,7,70.4
Tucson,"Keenan, Sean H.",437,30,2.5,67.5
Tucson,"Deangelis, Kathryn L.",112,41.1,5.4,53.6
Van Nuys,"Naselow-Nahas, Tara",233,9.9,3.9,86.3
Van Nuys,"Riley, Kevin W.",216,16.2,2.3,81.5
Van Nuys,"Burke, David H.",632,43.5,9.3,47.2
Van Nuys,"Santos-Garcia, Sandra J.",363,46,4.4,49.6
Van Nuys,"Burke, Brian",346,54.9,2.9,42.2
Van Nuys,"Maury, Carlos E.",381,67.2,3.7,29.1
Van Nuys,"Dorfman, Arlene E.",259,69.1,3.5,27.4
West Valley,"Truman, Phillip M.",1205,45.1,0.3,54.5
West Valley,"Greer, Christopher M.",1476,46.3,0.8,52.8
West Valley,"Anderson, David C.",1055,50.1,1.6,48.2
